word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a dysfunctional family,,gia đình bất hòa,a family in which the relationships are bad or unhealthy,"Children who come from a dysfunctional family often exhibit
behavioral problems at school.","Trẻ em xuất thân từ những gia đình bất hòa thường có những vấn
đề về hành vi cư xử tại trường học.",phrase,IELTS
to end in divorce,,ly hôn,to end a marriage legally,"It is increasingly common in my country for marriages to end
indivorce.",Ở nước tôi hôn nhân đang có xu hướng kết thúc trong ly hôn.,phrase,IELTS
a divorce settlement,,sự dàn xếp ly hôn,"refers to the decisions about the division of assets when a
marriage ends","The negotiation of a divorce settlement is often a long and
expensive process.","Sự thương lượng về dàn xếp ly hôn thường là quá trình kéo dài và
tốn kém.",phrase,IELTS
patterns of behavior,,đặc trưng hành vi,ways of acting and doing things (either positive or negative),"Patterns of behaviour copied from parents often influence the
way that children grow up.","Đặc trưng hành vi bắt chước từ phụ huynh thường ảnh hưởng cách
trẻ trưởng thành..",phrase,IELTS
a form/method of contraception,,phương pháp tránh thai,the method intended to prevent a woman becoming pregnant,"The various forms of contraception freely available nowadays
are an important factor in limiting the size of families.","Những phương pháp tránh thai có sẵn hiện nay là một yếu tố quan
trọng trong việc giới hạn quy mô gia đình.",phrase,IELTS
formative years,,giai đoạn hình thành,"A period of a person's life, usually childhood, that has a big
influence on the person they become later in life","UNICEF states that the early childhood years from birth through
age 8 are formative years in terms of intelligence, personality and social
behavior.","UNICEF khẳng định là những năm tuổi thơ từ khi sinh đến qua 8 tuổi
là giai đoạn hình thành sự thông minh, nhân cách và cách cư xử giao tiếp.",phrase,IELTS
to shape a child's personality/ value,,hình thành tính cách,to decide or influence the form of a child's personality,"Parents are very influential in shaping their children's personality
through the example that they set.","Cha mẹ có ảnh hưởng rất lớn đến việc hình thành tính cách của trẻ
con thông qua những việc họ làm mẫu.",phrase,IELTS
child custody,,quyền nuôi con,"the decision over whether the father or the mother has
responsibility for looking after the children following a divorce","With rising divorce rates in many developed countries, child
custody cases are becoming increasingly common in the law courts.","Với tỉ lệ li hôn ngày càng cao ở những quốc gia phát triển, những vụ
tranh chấp quyền nuôi con ngày càng trở nên phổ biến.",phrase,IELTS
birth control,,sinh đẻ có kế hoạch/ hạn chế sự sinh đẻ,"the use of a method to prevent a woman from becoming
pregnant","The many methods of birth control now available have
contributed to a reduction in the birth rate in many developed countries.","Nhiều phương pháp để kế hoạch hóa việc sinh đẻ có sẵn hiện nay
góp phần làm giảm tỉ lệ sinh ở nhiều quốc gia phát triển.",phrase,IELTS
to have an abortion/to terminate a pregnancy,,phá thai,"to prevent the birth of an unborn baby by having a medical
operation","Although some religious pressure groups disagree, many people
claim that it is the right of a woman to have an abortion if she wishes.","Dù nhiều tôn giáo phản đối, nhiều người vẫn tin rằng một phụ nữ có
quyền phá thai nếu cô ấy muốn.",phrase,IELTS
a family planning clinic,,phòng khám kế hoạch hóa gia đình,"a clinic which gives advice and help on controlling the number of
children which a woman has","Governments in all countries should provide funding for a
network of family planning clinics.","Chính phủ các nước cần trợ cấp quỹ hỗ trợ cho một mạng lưới các
phòng khám kế hoạch hóa gia đình.",phrase,IELTS
to pay child support,,trả tiền trợ cấp nuôi con,"refers to regular payments to help with expenses to look after
the children after a divorce or separation","After a divorce, the mother usually has custody of the children
and the father has to pay child support until the children become adults.","Sau ly hôn, người mẹ thường được quyền nuôi con còn người cha
thì phải trả tiền trợ cấp cho tới khi đứa trẻ trưởng thành.",phrase,IELTS
a single parent household,,gia đình đơn thân,"a family in which one person takes care of their child or children
without a husband, wife or partner","As a result of changes in society, single parent households are
no longer considered unusual.","Như là kết quả của những thay đổi trong xã hội, những gia đình
đơn thân hiện nay không còn bị coi là bất bình thường nữa.",phrase,IELTS
working mothers,,các bà mẹ đi làm,"women who have a job and also have to take care of their
children","As more and more women have entered the workforce, working
mothers have to balance the demands of home and work.","Khi ngày càng nhiều phụ nữ tham gia vào lực lượng lao động, các bà
mẹ đi làm phải cân bằng giữa những yêu cầu của công việc và gia đình.",phrase,IELTS
child-minding,,trông trẻ,"caring informally (not in schools) for children when parents are
busy or working","Working mothers with very young children face the problem of
organising child-minding while they are away from home.","Các bà mẹ đi làm mà có con nhỏ cần phải sắp xếp việc trông trẻ khi
họ không có nhà.",phrase,IELTS
to enter adult life,,bước vào thế giới người lớn,"the stage when adolescents are almost old enough to be legally
independent of their parents","Parents who have devoted time and thought to raising and
educating their children have given them a good prepartion to enter
adult life.","Những cha mẹ dành nhiều thời gian và suy nghĩ để nuôi dạy con cái
đã chuẩn bị cho họ thật tốt để bước vào thế giới người lớn.",phrase,IELTS
generation gap,,khoảng cách thế hệ,"the experience of not understanding your parents or
grandparents and them not understanding you due to being raised during
different time periods, in a different cultural setting","They were able to bridge the generation gap by watching old
and new movies together and discussing them.”","Họ đã tìm được cách kết nối khoảng cách thế hệ bằng việc xem
những bộ phim mới và cũ và cùng nhau thảo luận.",phrase,IELTS
shapers of a nation's tomorrow,,Những người làm chủ tương lai đất nước,refers to young generations who decide a nation's future,"Celebrating children's month reminds us about the importance of
children being the creators and shapers of a nation's tomorrow.","Mừng ngày đầy tháng của trẻ nhắc nhở ta về sự quan trọng của trẻ
em, những người làm chủ tương lai đất nước.",phrase,IELTS
an extended family,,gia đình được mở rộng,"a family group with many members, including parents, children,
grandparents, aunts and uncles, cousins etc","In the past, the extended family was a form of support when
any members were ill or suffered some misfortune.","Trước đây, gia đình mở rộng là một cách hỗ trợ lẫn nhau khi thành
viên nào bị bệnh hay không may gặp vấn đề.",phrase,IELTS
a nuclear family,,gia đình cơ bản,"a family consisting of a father, mother and their children","The nuclear family has replaced the extended family as the most
common form of family structure throughout the world.","Gia đình cơ bản đã thay thế những gia đình lớn, trở thành dạng gia
đình phổ biến nhất trên thế giới.",phrase,IELTS
negative influences on individual families,,"ảnh hưởng tiêu cực tới từng gia
đình","negative meaning bad; influences meaning effects; on individual
families refers to each nuclear family - a couple and their children, rather
than families in general;","Based on the research, the negative influences on individual
families could be lessened with more support from the government.”","Theo nghiên cứu, ảnh hưởng tiêu cực tới những gia đình cơ bản sẽ
được giảm bớt nếu có nhiều hỗ trợ hơn từ chính phủ.",phrase,IELTS
parental involvement,,sự can thiệp/ tham gia của cha mẹ,"the act or process of parents when taking part in their children's
activities.","Parental involvement allows parents to monitor school and
classroom activities, and to coordinate their efforts with teachers to
encourage acceptable classroom behavior and ensure that the child
completes schoolwork.","Sự tham gia của cha mẹ cho phép phụ huynh theo dõi các hoạt
động tại trường lớp, và cùng nỗ lực hợp tác với giáo viên để khuyến khích
các hoạt động tại lớp cũng như đảm bảo con họ hoàn thành bài tập được
giao.",phrase,IELTS
to dissolve a marriage,,kết thúc hôn nhân,to officially end a marriage,"Couples are sometimes unwilling to dissolve their marriage
and they stay together for the sake of the children.","Đôi khi các cặp vợ chồng không sẵn sàng chấm dứt hôn nhân và họ
lại ở cùng nhau vì lí do con cái.",phrase,IELTS
a dual-income family,,gia đình có 2 thu nhập,a family where both the father and mother work,"Changes in society have resulted in the dual-income family
becoming the most common family type.","Những thay đổi trong xã hội dẫn tới việc gia đình có 2 thu nhập
đang là loại gia đình phổ biến nhất.",phrase,IELTS
to start a family later in life,,có con muộn,"to begin a family later rather than earlier; in the past couples used
to start their families at younger ages, like 22, 23 or 24; nowadays they are
having babies, which is how you start a family, in their late 20s or even 30s
and 40s;","They decided to start a family later in life, preferring to work on
their careers during their 20s and early 30s. They finally had their first baby
when they were both 38 years old.","Họ quyết định có đứa con đầu tiên khá muộn để ưu tiên cho công
việc khi họ ở tuổi 20, 30. Cuối cùng họ có đứa con đầu tiên khi cả hai ở
tuổi 38.",phrase,IELTS
to support a family,,nuôi sống gia đình,to have enough money to be able to look after a family,"Young people often delay marriage because they do not earn
enough money to support a family.","Những người trẻ hiện nay trì hoãn không kết hôn vì họ không kiếm
đủ tiền để nuôi gia đình.",phrase,IELTS
to be overprotective,,bảo vệ quá mức,"to be too worried about the safety of someone, especially a child","If parents are overprotective of their children, there is a danger
that the children will become too dependent on their parents.","Nếu cha mẹ bảo vệ con cái quá mức, con cái sẽ trở nên quá phụ
thuộc vào cha mẹ mình.",phrase,IELTS
To bring up their offspring,,nuôi dạy con cái,"to bring up means to raise; this is what you do as a parent with
your children; you educate them, nurture them, etc.; offspring refers to
your children;",They are bringing up their offspring in a very strict household,Họ nuôi dạy con cái theo cách rất nghiêm khắc.,phrase,IELTS
embarking on parenthood,,bắt đầu làm cha mẹ,"to embark on something means to start something; in this case it
means to become a parent; parenthood is what you call the role of being a
parent; you are always a parent once you have children, but this refers to
the time you spend raising them; childhood is they time period when you
were a child;","They will be embarking on parenthood this summer, when their
new baby is born.”","Họ bắt đầu làm cha mẹ vào hè này, khi đứa con của họ mới sinh.",phrase,IELTS
a family gathering,,tập trung gia đình,a meeting of family members for a particular purpose,"In traditional societies, family gatherings are common to
celebrate special occasions.","Trong xã hội trước đấy, những buổi tập trung gia đình thường là để
chào mừng các dịp đặc biệt.",phrase,IELTS
the immune system,,hệ miễn dịch,"the system in your body that produces substances to help it fight
against infection and disease","A diet lacking in vitamins and minerals will almost certainly weaken a
person's immune system.",Chế độ ăn thiếu vitamin và khoáng chất sẽ gây suy yếu hệ miễn dịch.,phrase,IELTS
a chemical preservative,,hóa chất bảo quản,a chemical substance used to prevent food from deteriorating,"The juice contains no artificial/chemical preservatives, so drink it
within the next two or three days.","Nước hoa quả này không có hóa chất hay chất nhân tạo bảo quản, nên
hãy uống trong vòng 2 hay 3 ngày.",phrase,IELTS
artificial colo(u)ring and flavo(u)ring,,chất tạo màu và vị nhân tạo (phẩm màu),"any colours or flavours added to food, in order to make it look more
attractive or to enhance the flavour.","Consumers today expect food to look attractive and to have a
distinctive taste, so artificial colouring and flavouring is often used in the
food production process.","Người tiêu thụ hiện nay đều thích thực phẩm trông hấp dẫn và có
hương vị đặc biệt nên chất tạo màu và hương liệu thường được sử dụng trong
quá trình chế biến thực phẩm.",phrase,IELTS
food labelling,,Nhãn thực phẩm,the listing of ingredients on food packets or cans,"Food labelling should be clear in order for consumers to make
informed choices about the food that they buy.","Nhãn thực phẩm cần phải rõ ràng để người tiêu dùng có được thông
tin để lựa chọn thực phẩm họ mua.",phrase,IELTS
food processing,,chế biến thực phẩm,the treatment of food in order to make it ready for sale,"The growth of the food processing industry has meant that most of
the food that we eat is neither fresh nor locally produced.","Sự phát triển của ngành công nghiệp chế biến thực phẩm đồng nghĩa
với việc đa số thức ăn chúng ta ăn không còn tươi hay được sản xuất tại chỗ
nữa.",phrase,IELTS
shelf life,,thời hạn sử dụng,"the length of time that food can be kept, before it is too old to be
sold","Supermarkets throw away a lot of food, simply because its shelf life
has expired and it is no longer fit for sale.","Các siêu thị bỏ đi rất nhiều thức ăn, đơn giản vì nó quá hạn sử dụng và
không còn thích hợp đem bán.",phrase,IELTS
a food retailer,,nhà bán lẻ thực phẩm,a business which sells food to the public,"With the expansion of supermarkets, local food retailers have
disappeared from many neighbourhoods.","Với sự mở rộng của các siêu thị, các nhà bán lẻ thực phẩm tại địa
phương ở nhiều vùng đã biến mất.",phrase,IELTS
organic food,,thực phẩm hữu cơ,produced without using artificial chemicals,"The production of organic food causes less damage to the
environment and many people also claim that it is more nutritious.","Việc sản xuất thực phẩm hữu cơ gây ra ít tác hại đến môi trường hơn và
nhiều người cho rằng nó nhiều dinh dưỡng hơn.",phrase,IELTS
genetically modified (GM) food,,thực phẩm biến đổi gen,"food made from plants that have been genetically changed, in order
to produce more or in order to protect them from diseases/pests","There is growing public concern over the environmental
consequences of producing genetically modified food.","Hiện nay dư luận ngày càng quan tâm về những hậu quả ảnh hưởng tới
môi trường từ việc sản xuất thực phẩm biến đổi gen.",phrase,IELTS
free-range eggs/free-range meat/free-range products,,sản phẩm chăn thả tự nhiên,"related to a system in which animals are kept in natural conditions
and can move around freely","Customers who buy free-range products, such as eggs or chickens,
often do so because they oppose factory farming.","Nhưng khách hàng mua các sản phẩm chăn thả tự nhiên như trứng hay
gà, thường là do họ phản đối cách chăn nuôi công nghiệp.",phrase,IELTS
food poisoning,,ngộ độc thực phẩm,"a stomach illness as a result of eating food containing harmful
bacteria","In order to prevent cases of food poisoning, local authorities must
regularly inspect places in which food is prepared or sold to the public.","Để ngăn ngừa các ca ngộ độc thực phẩm, chính quyền địa phương phải
thường xuyên kiểm tra những nơi bán thực phẩm.",phrase,IELTS
fast food chains,,chuỗi thức ăn nhanh,"groups of shops owned by the same company, serving food to the
public","Healthy eating means avoiding eating out at fast food chains like
McDonald's or Pizza Hut.","Chế độ ăn lành mạnh nghĩa là tránh việc đi ăn ngoài ở các chuỗi thức
ăn nhanh như McDonald's hay Pizza Hut.",phrase,IELTS
junk food,,đồ ăn vặt,"food that is quick and easy to prepare and eat, but that is thought
to be bad for your health","The consumption of too much junk food is a major factor in the
increase of childhood obesity.","Việc tiêu thụ quá nhiều đồ ăn vặt là một trong những lí do chính dẫn
đến gia tăng bệnh béo phì ở trẻ em.",phrase,IELTS
a lack of calories to meet his/her energy needs,,"thiếu calo để cung cấp đủ năng
lượng cần thiết cho cơ thể.","not having enough calories in one's diet to provide all the energy
that a person uses","If a vegetarian's daily meals are not properly balanced, he or she
might suffer from a lack of calories to meet his or her energy needs.","Nếu những bữa ăn thường ngày của một ngày ăn chay không được cân
bằng thực sự, người đó sẽ bị thiếu calo để cung cấp đủ năng lượng cần thiết
cho cơ thể.",phrase,IELTS
home-made food,,đồ ăn tự tay làm,food which is prepared at home using individual ingredients,"In developed countries, the young generation must rediscover the
art of preparing home-made food, as part of a healthy lifestyle.",,phrase,IELTS
to have a snack,,ăn bữa phụ / ăn vặt,to eat a small amount of food between main meals,"Unless people are doing vigourous exercise, it is a bad habit tohave
a snack between meals.","Trừ khi đang tập các bài tập mạnh thì ăn vặt giữa các bữa chính là thói
quen không tốt.",phrase,IELTS
to eat a balanced diet,,chế độ ăn cân đối,to eat the correct types and amounts of food,The health benefits of eating a balanced diet are obvious.,Những lợi ích cho sức khỏe khi ăn theo chế độ ăn cân đối là rất rõ ràng.,phrase,IELTS
a vegetarian diet,,chế độ ăn chay,a diet with no fish or meat,"If everyone in the world followed a vegetarian diet, there would be
no hunger or starvation.","Nếu mọi người trên thế giới theo ăn theo chế độ ăn chay thì sẽ không
còn nạn đói và chết đói.",phrase,IELTS
a vegan diet,,chế độ ăn chay hoàn toàn,"a diet without any animal products, such as meat, milk or eggs","Many people active in animal rights movements worldwide follow a
vegan diet, because they believe that we should not exploit animals.","Nhiều người thuộc phong trào đấu tranh cho quyền động vật trên thế
giới ăn theo chế độ ăn chay hoàn toàn vì họ nghĩ chúng ta không nên bóc lột
động vật.",phrase,IELTS
to go on a diet,,ăn kiêng,"to eat less, or to eat only certain types of food in order to lose
weight","Many people in the West eat too much and – from time to time –
have to go on a diet.","Nhiều người phương Tây ăn quá nhiều – rồi thỉnh thoảng lại phải ăn
kiêng.",phrase,IELTS
to follow a recipe,,theo công thức,to cook a meal using instructions,"Whether you follow a recipe or make something up as you go
along, I think cooking is a very creative pastime.","Dù bạn nấu theo công thức hay nấu tùy ý theo cách của bạn thì tôi cho
rằng nấu ăn là một cách giết thời gian rất sáng tạo.",phrase,IELTS
Chinese cuisine,,ẩm thực Trung Hoa,"A type of food that is traditional in China – you can write ‘Italian
cuisine/Vietnamese cuisine' in the same way","Chinese cuisine is an important part of the traditional culture of the
country.","Ẩm thực Trung Hoa là một phần quan trọng trong văn hóa truyền
thống của nước này.",phrase,IELTS
a diet rich in….,,chế độ ăn giàu cái gì đó,a diet which contains a lot of something,"A diet rich in fibre, such as dried fruits, helps to keep people
healthy and active.","Chế độ ăn nhiều chất xơ, như các loại hoa quả sấy, giúp người ta khỏe
mạnh và năng động.",phrase,IELTS
a diet low in…..,,chế độ ăn nghèo cái gì đấy,a diet which contains very little of something,"To prevent obesity, people should avoid overeating and eat a diet
low in fats and sugar.","Để ngăn ngừa béo phì, mọi người nên tránh ăn quá nhiều và ăn chế độ
ăn ít chất béo và đường.",phrase,IELTS
a low-calorie diet,,chế độ ăn ít calo,"a diet of food which does not produce a lot of energy [measured in
calories] when you eat it",Those who are overweight should follow a low-calorie diet.,Những người thừa cân nên ăn theo chế độ ăn ít calo.,phrase,IELTS
to count calories,,tính số calo,"to monitor the food that you eat for low calories, to control or
reduce your weight","Slimmers who are trying to lose weight sometimes take this very
seriously and count the calories in everything they eat and drink each day.","Những người đang nhịn ăn để giảm cân đôi lúc rất nghiêm túc trong
việc này và họ tính số calo họ ăn và uống mỗi ngày.",phrase,IELTS
to provide somebody with a healthier diet,,"cung cấp chế độ ăn lành mạnh hơn cho ai
đó","to give somebody a diet which is more healthy than that which they
have at present","Eating only fresh fruit and vegetables provides people with a
healthier diet.","Chỉ ăn rau và hoa quả sẽ cung cấp cho mọi người chế độ ăn lành mạnh
hơn.",phrase,IELTS
to put on weight,,tăng cân,to become fatter and heavier,"Those who wish to avoid putting on weight should avoid fatty and
sugary foods.","Những người luôn mong tránh được việc tăng cân thì cần tránh đồ ăn
có nhiều chất béo và nhiều đường.",phrase,IELTS
a slimming club,,clb giảm cân,a group of people who join together to try to lose weight,"A slimming club is a good option for people who lack motivation to
lose weight on their own.","Clb Giảm cân là một lựa chọn tốt cho những người thiếu động lực tự
giảm cân.",phrase,IELTS
low in fat and high in fiber,,ít chất béo và giàu chất xơ,"a diet which does not contain much fat, but which contains foods
which have a lot of fiber",A healthy vegetarian diet is typically low in fat and high in fiber.,Một chế độ ăn chay lành mạnh điển hình là ít chất béo và giàu chất xơ.,phrase,IELTS
to abide by,,tuân thủ,,"Motorists who do not abide by the rules of the road should be
severely punished.","Những người lái xe mô tô không tuân thủ luật giao thông đường bộ
cần bị trừng phạt nghiêm khắc.",phrase,IELTS
parliamentary democracy,,"dân chủ nghị viện, chế độ nghị viện","a system of government in which candidates are voted to
represent the people of a country in a national parliament or assembly","Freedom of speech is usually one of the rights enjoyed by
citizens in a parliamentary democracy.","Quyền tự do ngôn luận là một trong những quyền của người dân
thuộc chế độ nghị viện dân chủ.",phrase,IELTS
to adhere to,,"tôn trọng, tuân theo chặt chẽ","to behave according to a particular law, rule, set of instructions,","Governments which fail to adhere to their election promises
generally become unpopular very quickly.","Chính phủ nào không tuân theo chặt chẽ những gì đã hứa trong
cuộc bầu cử thường sẽ nhanh chóng mất đi tín nhiệm.",phrase,IELTS
constitutional government,,chính phủ hợp hiến,connected with the laws which a country is governed by,"The media have an important role to play in reporting on the
actions of politicians, to ensure the proper functioning of constitutional
government.","Truyền thông đóng vai trò quan trọng trong việc theo dõi và cung
cấp thông tin về hoạt động của các chính trị gia để đảm bảo thực hiện
đúng chức năng của chính phủ hợp hiến.",phrase,IELTS
the executive branch,,cơ quan hành pháp,"that part of the government organisation responsible for
implementing laws and decisions","The enforcement of policies affecting schools and hospitals is
the responsibility of theexecutive branch of the government.","Việc áp đặt các chính sách liên quan đến trường học và bệnh viện là
trách nhiệm của cơ quan hành pháp thuộc chính phủ.",phrase,IELTS
the legislative branch,,cơ quan lập pháp,that part of the government responsible for making laws,"Laws relating to human rights have been passed by the
legislative branch of many national governments.","Các điều luật liên quan đến quyền con người phải được thông qua
bởi cơ quan lập pháp của nhiều chính phủ.",phrase,IELTS
the separation of powers,,nguyên tắc phân quyền,"the principle that separates government authority into three
branches – legislative (the Parliament or Senate), executive (the President
or Ministers) and the judiciary (the judges and courts).","In the USA, the independence of the courts from the
government is safeguarded by the separation of powers.","Tại Hoa Kỳ, sự độc lập của tòa án, không phụ thuộc chính phủ được
đảm bảo bởi nguyên tắc phân quyền.",phrase,IELTS
to adopt policies,,"chấp nhận, thông qua chính sách",to start to use particular policies,"In order to deal with traffic congestion, the government must
adopt policies to restrict the use of private cars.","Để giải quyết vấn đề tắc đường, chính phủ phải thông qua chính
sách hạn chế sử dụng xe cá nhân.",phrase,IELTS
to impose spending cuts,,áp dụng cắt giảm ngân sách,to introduce new rules to spend less money on something,"It is essential for the authorities to impose spending cuts on
space programs in order to fund health services.","Chính quyền cần phải áp dụng cắt giảm ngân sách cho các chương
trình về vũ trụ để ưu tiên cho các dịch vụ sức khỏe.",phrase,IELTS
to raise taxes on,,tăng thuế về gì,to increase the amount of tax on something,"Governments should raise taxes on cigarettes to persuade more
people to give up smoking.","Chính phủ nên tăng thuế thuốc lá để thuyết phục mọi người ngừng
hút thuốc.",phrase,IELTS
to curb public spending on,,cắt giảm ngân sách chung của cái gì,to restrict what the government spends on something,"I would argue that it is preferable to curb public spending on
building new roads rather than to impose spending cuts on education.","Tôi cho rằng nên cắt giảm ngân sách chung để xây đường mới hơn
là áp dụng cắt giảm ngân sách cho giáo dục.",phrase,IELTS
to allocate resources to,,phân bổ nguồn lực,to make money and materials available to do something,"If governments allocate more resources to improving public
transport, this will reduce the problem of traffic congestion in cities.","Nếu chính phủ phân bổ nhiều nguồn lực hơn để cải thiện phương
tiện công cộng, nó sẽ giúp làm giảm vấn đề tắc đường tại các thành phố.",phrase,IELTS
to introduce restrictions on,,áp dụng giới hạn lên cái gì/ hạn chế,to limit what people can do or what can happen,"The government must introduce restrictions on smoking in
public places.",Chính phủ cần áp dụng giới hạn về việc hút thuốc nơi công cộng.,phrase,IELTS
to infringe on/upon something,,xâm phạm,to limit somebody's legal rights,"Governments must sometimes infringe upon individual
freedoms in the wider interests of society.","Chính phủ đôi lúc phải xâm phạm quyền tự do cá nhân trong các
vấn đề lớn hơn của cả xã hội.",phrase,IELTS
to be a government priority,,ưu tiên của chính phủ,"something which is so important that the government should
deal with it first.","In developing countries, spending on health and education
should be top government priorities.","Ở các quốc gia đang phát triển, việc chi cho y tế và giáo dục nên là
những ưu tiên hàng đầu của chính phủ.",phrase,IELTS
to prioritize expenditure on,,ưu tiên chi tiêu cho cái gì,to put the need to spend money on certain things first,"I believe that it is important to prioritize expenditure on
medical research in order to save lives.","Tôi tin rằng cần phải ưu tiên chi tiêu cho nghiên cứu y tế để cứu
người.",phrase,IELTS
to provide funding for,,cung cấp hỗ trợ cho cái gì (gây quỹ hỗ trợ),to give money to enable something to be done,"Providing funding for health care must be a priority of
governments.","Gây quỹ hỗ trợ cho chăm sóc sức khỏe nên là ưu tiên của các quốc
gia.",phrase,IELTS
high on the agenda,,,"something which is among the first things in the list of actions
to be taken","The rehabilitation of prisoners must be high on the agenda of
prison authorities everywhere.","Việc tái hòa nhập cộng đồng của những người từng ở tù nên là …..
của chính quyền ở mọi nơi. .",phrase,IELTS
to exert pressure on,,gây áp lực cho cái gì đó,to use power to influence somebody or something,"Environmental organisations should exert pressure on
governments to invest in renewable energy projects.","Các tổ chức về môi trường cần gây áp lực cho chính phủ để đầu tư
cho các dự án năng lượng tái tạo.",phrase,IELTS
to form a pressure group,,"thành lập nhóm người gây sức ép (nhóm áp
lực)","to organize a group of people who try to influence the
government to achieve the action that they want.","Activists in my country have formed a pressure group to
persuade the government to close nuclear power stations.","Những nhà hoạt động tại nước tôi đã thành lập một nhóm gây sức
ép để thuyết phục chính phủ đóng cửa các nhà máy hạt nhân.",phrase,IELTS
to provide public subsidies for,,cung cấp trợ cấp công,"to give government money to reduce the costs of services or to
produce goods in order to keep the price low","In order to promote agriculture that is environmentally-friendly,
the government should provide public subsidies for organic farmers.","Để đẩy mạnh phát triển nông nghiệp thân thiện với môi trường,
chính phủ nên cung cấp trợ cấp công cho những người nông dân trồng
hữu cơ.",phrase,IELTS
international bodies,,tổ chức xuyên quốc gia (quốc tế),organizations which operate in many countries,"National governments ought to give funds to international
bodies, like the Red Cross and the United Nations, to deal with emergency
situations.","Chính phủ các quốc gia nên hỗ trợ quỹ cho các tổ chức quyoocs tế
như Hội chữ thập đỏ và Liên Hợp Quốc để đối phó với những vấn đề khẩn
cấp.",phrase,IELTS
national and local authorities,,chính quyền quốc gia và địa phương,"government organizations acting at a national level or within a
smaller, local area","Tackling crime is a responsibility of both national and local
authorities.","Giải quyết tội phạm là trách nhiệm của cả chính quyền quốc gia và
địa phương.",phrase,IELTS
non-governmental organizations: NGOs,,tổ chức phi chính phủ,"a charity or association that is independent of government or
business","Individuals could donate money to NGOs to help others in need
of food, shelter and medical services.","Các cá nhân có thể quyên góp tiền cho các tổ chức phi chính phủ
để giúp đỡ những người đang cần thức ăn, chỗ ở và dịch vụ y tế.",phrase,IELTS
to campaign for something,,vận động cho cái gì,"to take part in a series of activities in order to achieve a specific
aim.","People who are concerned about the environment should
campaign for stricter controls on pollution.","Những người quan tâm đến môi trường nên vận động để có những
luật kiểm soát nghiêm khắc hơn về vấn đề ô nhiễm.",phrase,IELTS
government decision-making,,quá trình ra quyết định của chính phủ,the process of deciding about something official,"Pressure groups are sometimes able to influence government
decision-making.","Những nhóm gây sức ép đôi khi có thể ảnh hưởng tới quá trình ra
quyết định của chính phủ.",phrase,IELTS
to impose an official ban on,,chính thức ban hành lệnh cấm cái gì,to say or declare that something is not allowed,"Governments ought toimpose an official ban on the use of
mobile phones on public transport.","Chính phủ nên chính thức ban hành lệnh cấm sử dụng điện thoại
trên các phương tiện giao thông công cộng",phrase,IELTS
government sponsorship,,sự bảo trợ của chính phủ,the act of providing financial support by the government,"Government sponsorship of the arts is necessary if creative
talent is to be encouraged.","Sự bảo trợ của chính phủ cho nghệ thuật là cần thiết nếu muốn các
tài năng sáng tạo được khuyến khích.",phrase,IELTS
a welfare state,,phúc lợi nhà nước,"a taxation system which allows governments to provide for the
economic and social well-being of its citizens","In order to eradicate poverty, I believe that a welfare state
should be established in all developing countries.","Để giải quyết nạn nghèo đói, tôi tin rằng phúc lợi nhà nước nên
được thiết lập ở tất cả các nước đang phát triển.",phrase,IELTS
a stopgap measure,,biện pháp tạm thời,"a policy or action adopted for a short time until some more
permanent solution is found","Building more prisons will not solve the problem of rising crime
rates, but it is a stopgap measure which the government must take to
protect ordinary citizens.","Xây nhiều nhà tù không giải quyết vấn đề tội phạm gia tăng, nhưng đó
là biện pháp tạm thời mà chính phủ bắt buộc phải sử dụng để bảo vệ công
dân nước mình.",phrase,IELTS
to be prone to obesity,,chắc chắn sẽ béo phì,to be likely to become fat [in an unhealthy way],"Children who are addicted to watching television, instead of
playing outdoor games, are more prone to obesity.","Trẻ em nghiện xem ti vi thay vì ra ngoài chơi càng chắc chắn sẽ béo
phì.",phrase,IELTS
eating disorders,,rối loạn ăn uống,"problems which occur when people are unhappy with their
bodies, and therefore eat far too much or far too little.","Advertising tells women that they should have bodies like
supermodel celebrities, and this sometimes leads to eating disorders such
as anorexia or bulimia.","Quảng cáo đã khuyên phụ nữ cần có thân hình như những siêu mẫu,
và điều này đôi khi dẫn tới rối loạn ăn uống như chán ăn và ăn ói.",phrase,IELTS
safe hygiene standards,,tiêu chuẩn vệ sinh an toàn,"a safe level of keeping yourself, living areas or working areas
clean in order to prevent illness and disease","Maintaining safe hygiene standards in hospitals, homes and
workplaces is a simple and inexpensive way to combat the spread of
diseases.","Giữ gìn tiêu chuẩn vệ sinh an toàn trong bệnh viện, nhà và nơi làm
việc là một cách đơn giản và không tốn kém để ngăn chặn sự lây lan của
dịch bệnh.",phrase,IELTS
to keep their teeth healthy,,giữ gìn răng miệng khỏe mạnh,to take care of their teeth by cleaning them regularly,"Advertisements encourage youngsters to brush their teeth
several times a day in order to keep their teeth healthy.","Các tin quảng cáo khuyến khích trẻ em đánh răng vài lần 1 ngày để
giữ răng miệng sạch sẽ.",phrase,IELTS
to launch a full-scale investigation into sth,,"triển khai 1 cuộc điều tra toàn
diện về cái gì","to start an investigation completely or using all available
methods, equipment, money, etc.","Scientists are about to launch a full-scale investigation into the
cause of the outbreak of the disease.","Các nhà khoa học chuẩn bị triển khai 1 cuộc điều tra toàn diện về
nguyên nhân của sự bùng nổ dịch bệnh.",phrase,IELTS
